Rk,name,Inducted,Yrs,From,To,ASG,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
218,Monte Ward,1964,17,1878,1894,0,34.8,1827,8114,7656,1410,2107,231,96,26,869,540,,421,326,0.275,0.314,0.341,0.655
219,Mickey Welch,1973,13,1880,1892,0,-0.6,607,2286,2201,268,492,93,16,12,202,10,,82,329,0.224,0.252,0.297,0.549
220,Zack Wheat,1959,19,1909,1927,0,56.9,2410,9996,9106,1289,2884,476,172,132,1248,205,69,650,572,0.317,0.367,0.45,0.817
221,Hoyt Wilhelm,1985,21,1952,1972,8,-3,1070,493,432,24,38,3,1,1,21,0,1,26,166,0.088,0.139,0.106,0.246
222,Billy Williams,1987,18,1959,1976,6,59.9,2488,10519,9350,1410,2711,434,88,426,1475,90,49,1045,1046,0.29,0.361,0.492,0.853
223,Dick Williams,2008,13,1951,1964,0,2.4,1023,3265,2959,358,768,157,12,70,331,12,21,227,392,0.26,0.312,0.392,0.704
224,Ted Williams,1966,19,1939,1960,19,119.8,2292,9788,7706,1798,2654,525,71,521,1839,24,17,2021,709,0.344,0.482,0.634,1.116
225,Vic Willis,1995,13,1898,1910,0,-3.5,531,1623,1493,107,248,19,4,1,84,3,,81,201,0.166,0.213,0.186,0.399
226,Hack Wilson,1979,12,1923,1934,0,37.3,1348,5556,4760,884,1461,266,67,244,1063,52,5,674,713,0.307,0.395,0.545,0.94
227,Dave Winfield,2001,22,1973,1995,12,59.4,2973,12358,11003,1669,3110,540,88,465,1833,223,96,1216,1686,0.283,0.353,0.475,0.827
228,George Wright,1937,12,1871,1882,0,24.7,591,2941,2873,665,866,124,60,11,326,47,20,68,119,0.301,0.318,0.398,0.715
229,Harry Wright,1953,7,1871,1877,0,2,180,850,813,183,224,21,8,4,113,11,3,37,14,0.276,0.307,0.336,0.643
230,Early Wynn,1972,23,1939,1963,9,9.7,796,1904,1704,136,365,59,5,17,173,1,0,141,330,0.214,0.274,0.285,0.559
231,Carl Yastrzemski,1989,23,1961,1983,18,90.1,3308,13992,11988,1816,3419,646,59,452,1844,168,116,1845,1393,0.285,0.379,0.462,0.841
232,Cy Young,1937,22,1890,1911,0,-1.5,918,3101,2960,325,623,87,35,18,290,29,,81,381,0.21,0.234,0.282,0.516
233,Ross Youngs,1972,10,1917,1926,0,30.9,1211,5336,4627,812,1491,236,93,42,592,153,83,550,390,0.322,0.399,0.441,0.839
234,Robin Yount,1999,20,1974,1993,3,72.4,2856,12249,11008,1632,3142,583,126,251,1406,271,105,966,1350,0.285,0.342,0.43,0.772
,Average Batting HOFer,,18,1871,2004,6,65,2138,9009,7926,1323,2399,410,110,211,1213,229,54,893,731,0.303,0.376,0.462,0.838
